Plot Title: LOL,,
#,"Date Time, GMT -0700","Temp, °F"
1,2021-06-14 7:45:00,54.52
2,2021-06-14 7:50:00,54.35
3,2021-06-14 7:55:00,54.35
4,2021-06-14 8:00:00,54.45
5,2021-06-14 8:05:00,54.56
6,2021-06-14 8:10:00,54.70
7,2021-06-14 8:15:00,54.79
8,2021-06-14 8:20:00,54.93
9,2021-06-14 8:25:00,55.20
10,2021-06-14 8:30:00,55.33
11,2021-06-14 8:35:00,55.53
12,2021-06-14 8:40:00,55.78
13,2021-06-14 8:45:00,55.93
14,2021-06-14 8:50:00,56.20
15,2021-06-14 8:55:00,56.49
16,2021-06-14 9:00:00,56.69
17,2021-06-14 9:05:00,57.01
18,2021-06-14 9:10:00,57.32
19,2021-06-14 9:15:00,57.59
20,2021-06-14 9:20:00,58.00
21,2021-06-14 9:25:00,58.25
22,2021-06-14 9:30:00,58.52
23,2021-06-14 9:35:00,58.83
24,2021-06-14 9:40:00,59.04
25,2021-06-14 9:45:00,59.39
26,2021-06-14 9:50:00,59.62
27,2021-06-14 9:55:00,59.66
28,2021-06-14 10:00:00,59.95
29,2021-06-14 10:05:00,60.30
30,2021-06-14 10:10:00,60.41
31,2021-06-14 10:15:00,60.70
32,2021-06-14 10:20:00,60.89
33,2021-06-14 10:25:00,61.24
34,2021-06-14 10:30:00,61.44
35,2021-06-14 10:35:00,61.65
36,2021-06-14 10:40:00,61.76
37,2021-06-14 10:45:00,61.86
38,2021-06-14 10:50:00,61.98
39,2021-06-14 10:55:00,62.11
40,2021-06-14 11:00:00,62.25
41,2021-06-14 11:05:00,62.44
42,2021-06-14 11:10:00,62.67
43,2021-06-14 11:15:00,62.88
44,2021-06-14 11:20:00,63.13
45,2021-06-14 11:25:00,63.35
46,2021-06-14 11:30:00,63.62
47,2021-06-14 11:35:00,63.95
48,2021-06-14 11:40:00,64.35
49,2021-06-14 11:45:00,64.35
50,2021-06-14 11:50:00,64.64
51,2021-06-14 11:55:00,64.12
52,2021-06-14 12:00:00,63.67
53,2021-06-14 12:05:00,64.04
54,2021-06-14 12:10:00,64.02
55,2021-06-14 12:15:00,64.10
56,2021-06-14 12:20:00,62.19
57,2021-06-14 12:25:00,61.74
58,2021-06-14 12:30:00,60.41
59,2021-06-14 12:35:00,59.78
60,2021-06-14 12:40:00,57.38
61,2021-06-14 12:45:00,57.15
62,2021-06-14 12:50:00,56.51
